"","ZFTA_NPC.like.2","ZFTA_MES_like","ZFTA_Radial.glia.like","ZFTA_NPC.like.1","ZFTA_Ependymal.like","ZFTA_Neuroepithelial_like","ZFTA_Cycling","ZFTA_NPC.like.3"
"127","AP000476.1","HSPA1B","CYP7B1","DLGAP4","AKAP14","CCT4","APOLD1","PRKCZ"
"128","ARHGAP20","SMOX","FAM134B","SLC24A3","ARMC4","ATP6AP2","SMC2","SKI"
"129","GS1-204I12.1","RPF2","CD38","GALNTL6","VWA5B1","MRPL51","CDCA2","CD302"
"130","TINAG","GYS1","EMID1","SCN3A","EFEMP1","LDHB","SASS6","LRP5"
"131","GS1-179L18.1","HPRT1","WWC1","TMEFF1","CCDC135","TMED2","RFC4","ECE2"
"132","REXO1L1","LTV1","ROBO2","PDE9A","LIMS2","IFITM3","CDK2","NOTUM"
"133","CDYL2","RNF24","IFI44L","STX6","SLC1A1","GHITM","MSH5","SHANK3"
"134","C6","TIMM23B","GLS2","FABP5","HRNR","GRN","RAD51","LRRC2"
"135","FAM83B","UAP1","EDNRB","EGFR","DPP6","POLR2C","RFC3","FAM89A"
"136","LL22NC03-86D4.1","USP38","IL6ST","KALRN","PLEKHG4B","PSMD8","CIT","VIPR1-AS1"
"137","PTPRR","ANKZF1","SLC6A1-AS1","CAMSAP1","TEX26","EIF6","TYMS","MUSK"
"138","CCDC141","EIF2B1","ATP11A","AP000462.2","PTPN20A","NHP2","ARHGAP11B","LGR5"
"139","DOCK2","IRAK2","EFR3B","MAP2K5","CCDC113","ATRAID","CDCA8","TSHZ2"
"140","CXCL13","SLC25A32","ABHD17C","FAM212B","AGBL2","HNRNPH2","STIL","SLC16A14"
"141","MUC19","SEC61G","CYP2J2","ADAM23","USP9Y","MYL12A","NUF2","ZFPM1"
"142","AC104820.2","MYOF","COL16A1","TTLL10","RNF220","ARF5","MND1","SH3BP5"
"143","CNTN6","ATP6V1C1","LMCD1-AS1","UCK2","KIAA1217","KDELR1","PRC1","GRID2IP"
"144","GC","GAB2","KAL1","FAM117B","STOX1","NDUFB11","FBLN7","GAD1"
"145","CHODL","DDX39A","COLEC12","ARHGAP24","ECHDC2","SYNGR2","MCM8","AATK"
"146","PASD1","GOLGA3","TBX15","RNF144A","DNAH2","SDCBP","ASPN","ITGA9"
"147","PTGER3","URB1","URB1","UHRF2","DNAJB13","ISG15","NCAPD3","MAP2K2"
"148","C9","MIR29B1","FSIP2","MSANTD3-TMEFF1","DNAH3","ATP6V1F","CHEK2","BAHD1"
"149","BMP5","KDM6B","FN1","CRMP1","CORO6","SEPW1","FEN1","KCNQ1OT1"
"150","TMEM212","PTRH2","FAM107A","SEPT3","KDM5D","TRMT112","MXD3","SCML1"
"151","IGF1","AGFG1","PLCE1-AS1","MICAL1","AK7","TMED10","KCNAB3","LRFN5"
"152","ELTD1","FARSB","GINS3","PDE1A","SLC47A2","PTRF","PRC1-AS1","VEGFC"
"153","AL590867.1","RBM34","GRIK1","CASK","WDR92","COX8A","CASC5","ETV1"
"154","KCNU1","ELL2","HTRA1","KLF7","TTTY14","FRZB","FANCD2OS","ABTB1"
"155","CNTNAP4","SMIM12","ACTN1","CASC14","CYP4F12","GNG3","FOXN4","STRC"
"156","CFTR","FSD2","LYN","HECW1","AIM2","NGRN","MSH5-SAPCD1","GTF2IRD1"
"157","TECRL","TAF7","PHYKPL","ARAP3","C5AR1","MAT2B","CENPJ","MET"
"158","PWRN1","ESYT2","MOXD1","NOL4","CCDC176","SYPL1","KIF22","ELAVL2"
