Microglia,C1Q Immunosuppressive,Neutrophil,Scavenger Immunosuppressive,G2-M,IFN Response,IL1B Inflammatory,cDC,G1-S,Hypoxia,CXCR4 Inflammatory,HS-UPR,Macrophage,Monocyte
GNLY,FCGRT,G0S2,HMOX1,STMN1,SERPING1,CREM,BATF3,LIG1,ATF5,C12orf75,P4HA1,AKR1B1,LILRB3
SELENBP1,SELENOP,KCNJ15,IDH1,CKAP2,SPATS2L,JUNB,RAB7B,TMEM106C,NCF1,NBL1,LINC02731,CALM3,JAML
GLRX,FCHO2,HAL,RND3,NCAPG,HSH2D,CCRL2,DNASE1L3,CDCA7,SQSTM1,DLEU1,INTS6,ANXA2,CPD
DBI,OLFML2B,TMX4,SLC16A3,CDKN2C,VAMP5,ARID5B,LCP1,ATAD5,HMOX1,AC103591.3,SRSF7,LAMP1,KYNU
POU2F2,TNFSF13B,VNN3,ABLIM3,CCNF,GCH1,HBEGF,CD226,ZNF367,HIF1A-AS3,DUSP6,HSPA4L,NR1H3,MEGF9
RASGEF1C,IDH1,S100A12,TNS3,RACGAP1,PALM2-AKAP2,XBP1,FBXO27,CHAF1A,SLC2A3,AC007952.4,EIF4A3,MPP1,AGFG1
DNASE2,HLA-DQA1,STEAP4,PKM,CIT,GBP5,ARL5B,COTL1,DIAPH3,EGLN3,ACY3,MLKL,FABP5,DOK2
NPL,MAFB,ABHD5,FGD5,SAPCD2,IFITM2,CDKN1A,LTB,RPA3,HPCAL1,NCOA7,FOSB,CHCHD6,FPR2
RPS26,LAP3,MEFV,CD151,ARL6IP1,SLFN5,ATP1B3,HLA-DQB2,TUBB,TMEM140,LINC02712,NFKBIA,SLC38A6,CD48
LINC00578,BST2,NIBAN1,ERRFI1,NCAPH,LAG3,B3GNT5,IRF8,SHCBP1,MT2A,AC245014.3,ATF3,CD52,NRGN
PDXK,IL2RA,ECE1,SDC3,NCAPD2,IL4I1,KLF10,AFF3,MELK,FLNB,FAM149A,BCAS2,ACP2,PLBD1
SALL1,GRN,S100A6,SH3PXD2A,KIF18A,OPTN,NFIL3,CLIC2,PRIM1,RGCC,PLVAP,CD83,S100A11,TGM2
ALOX5AP,ITGA6,CKAP4,CD14,HMGB2,MCOLN2,NAMPT,NET1,DEK,S100A10,PLXDC1,ID3,CTSB,IFI30
ADAMTSL2,DST,APOBEC3A,XIST,PRR11,IRF1,OSM,MYCL,PARP1,LGALS1,SOCS6,TAGAP,FCGRT,TREM1
C12orf75,PMP22,GLT1D1,RAP2B,DEPDC1B,GLRX,CYB5D1,PPP1R14A,RANBP1,CDCP1,SIDT1,OLMALINC,TMEM37,CLEC4E
OLR1,GASK1B,IFRD1,TPM4,HMGB3,NCOA7,PFKFB3,C1orf54,GINS1,SLC16A3,SIGLEC10,AC016773.1,GSTP1,ICAM3
SIGLEC8,HIF1A,SRPK1,ANPEP,TUBB,CD48,IER2,ADAM19,POLQ,SLAMF9,ZFP36,CKS2,ATP5MC3,CD1D
CYTH3,ARHGAP18,RNF24,HK3,SPAG5,ENDOD1,PHLDA1,GSTP1,ORC1,BTG1,EGR3,ICAM4,EPAS1,AHNAK
CACNA1A,MAN2A1,SYNE2,NETO2,SGO1,OLFML3,RANBP2,PPP1R16B,MND1,METRNL,SESN1,NEAT1,CES1,PTGER2
CD63,TBC1D16,TALDO1,TRPS1,GPSM2,TRIM25,GRASP,SULF2,MCM8,INF2,C3,ADM,SCD,ARL4A
HCST,GLUL,S100A8,PLAU,TUBA1C,APOBEC3A,ZFP36L1,IL2RG,TIMELESS,TNS1,SRGAP1,DDX3Y,FAH,BTG1
TMIGD2,ARL4C,SLC6A6,PSD3,KIF20B,APOL3,TSC22D2,PSTPIP2,STMN1,PLOD2,ABCG2,Z93930.2,MS4A4A,ATP13A3
UCP2,INAFM2,CNN2,TBC1D16,FOXM1,ATF5,ZNF331,ICAM3,E2F8,MT1G,GATM,DOK2,TALDO1,GK5
GSDME,DNASE2,SVIL,DSE,KIFC1,NCF1,PRDM1,C1orf21,LMNB1,SPP1,IRF8,NFKBIZ,ABCC5,COTL1
DHRS9,AZI2,CYTIP,ATP13A3,MAD2L1,HAPLN3,C5AR1,ANXA6,SLFN13,SULF2,ZEB2-AS1,CDKN1A,VIM,CLMN
MGST3,PLXND1,PLXNC1,GLUL,ECT2,PPA1,ATP2B1-AS1,NRARP,RFC3,ADCY3,SLC15A2,PARD6G-AS1,BIRC7,CLEC4D
NUAK1,CD59,LRG1,FCGRT,H2AFV,ZC3HAV1,SOCS3,LAMP3,CENPX,ALDOA,H1F0,MID1IP1,UCP2,EMILIN2
AP000439.2,GOLGA4,PTPRE,SLC7A8,PBK,GBP2,PDE4B,RUNX3,CENPH,P4HB,ANKRD22,GADD45G,FABP3,ANXA1
C1QA,SPATA6,F5,EPAS1,TACC3,CKB,IRAK2,PSMB9,WDR34,AL162253.2,RPS26,AL451085.1,SMPDL3A,FOSL2
FCER1G,TREM2,LYST,MAPK13,KIF15,TMEM140,PIM3,KCNK6,RBL1,MT1F,RNF122,MRPS6,CTSL,SEMA6B
CTSC,SDC3,BCL2A1,BLVRA,MXD3,MT2A,EIF4E,CYTIP,EZH2,MT1E,PMAIP1,TNFSF14,IGSF6,CSGALNACT2
SLC15A2,MPC2,TOB1,ARMT1,TUBA1B,SLC38A5,TFRC,GPAT3,CARHSP1,LSP1,AC011139.1,PRNP,CCL18,MARCKSL1
C2,LAMP1,ADGRE3,CALU,PARPBP,HPSE,DNAJA1,IRF4,RMI2,SEC61G,RPS4Y1,BTG2,TXN,CKAP4
GAA,CD68,ACTN1,MARCO,HMGB1,RGL1,IL1RN,CD40,WDHD1,UPP1,LRRC69,FAM43A,KCNJ5,RETN
S100A13,SLC31A1,NABP1,AHNAK,SKA1,SMCHD1,PMAIP1,PKP2,USP1,PGAM1,DHRS9,PPP1R3C,FNIP2,IL1R2
CD59,ENG,CR1,MSR1,KIF22,LILRA4,AZIN1-AS1,TRAF1,PAICS,CYTIP,HMGB1,KCNQ1OT1,RAP2B,GLT1D1
QPRT,SLAMF8,AL034397.3,NEAT1,SPDL1,SELL,STK38L,EGLN3,SMC2,MT3,NDRG2,XBP1,GSTO1,MARCO
TLR10,CST3,IGF1R,AP2S1,TUBB4B,C1QC,ZC3H12A,BCL2L11,XRCC2,CXXC5,FCGR1A,TSC22D2,SDS,CRIP1
CPVL,LITAF,PYGL,ST14,SHCBP1,BLVRA,FAM53C,APOL3,MAD2L1,PGM1,ZFAND5,MTRNR2L8,LPL,EHD1
ZFPM2-AS1,ADGRE2,CDKN2D,UTRN,IQGAP3,GOLGA4,LINC00346,TUBA1A,BRCA2,PDK1,EBI3,KLF4,OSTC,NLRP12
MYO1E,POU2F2,FCAR,ALCAM,PHF19,CCL8,FILIP1L,PRKAR2B,NCAPG,MTFP1,B3GNT5,HSPA2,ADAMDEC1,APOBEC3A
RASSF8,FCGBP,PROK2,SLC43A3,ANP32E,BRCA2,HIF1A,CXCR4,E2F7,SLC2A5,TLN2,ZFAND5,TCN2,SELL
CCND1,CD63,SIRPB1,LMNA,H2AFX,TRANK1,RHOB,SNX22,KNTC1,SERINC2,AC020916.1,ATP2B1-AS1,FCHO2,PPIF
TNFAIP8L3,ACSL1,PRKDC,DMXL2,SMC2,ANKRD22,SERTAD1,RAB32,UBE2T,PLP2,GABPB1-AS1,ATF7IP2,RAB42,TXNIP
TSPO,SMIM3,CNTNAP3,GASK1B,H2AFZ,APOE,BASP1,BCL11A,CDCA7L,PPDPF,SALL1,MXD1,JPT1,RBP7
ATP6V1F,PYGL,INKA2,GALM,SPC24,CXCL9,BHLHE40,SH3BP4,CCNE1,MT1H,CCND2,IER3,PPARG,SH3BP5
SMARCA1,SNX9,CDA,EDNRB,DTYMK,UTRN,PTGER4,PTPRE,FAM111A,GATM,TMEM107,GZF1,TDP2,AC037198.1
